,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
117,Percy Harvin,MIN,WR,24,9,8,0,0,0,0,22,96,85,62,677,10.92,2,1,0,0,0,96,1,22,677,3,161.3
118,Nate Washington,TEN,WR,29,16,14,0,0,0,0,0,0,89,46,746,16.22,1,0,0,0,0,0,0,0,746,4,144.6
119,Ryan Mathews,SDG,RB,25,12,9,0,0,0,0,184,707,56,39,252,6.46,2,2,0,0,0,707,1,184,252,0,136.9
120,Donnie Avery,IND,WR,28,16,15,0,0,0,0,4,9,124,60,781,13.02,1,0,0,0,0,9,0,4,781,3,157
121,Andre Brown,NYG,RB,26,10,2,0,0,0,0,73,385,17,12,86,7.17,0,0,0,0,0,385,8,73,86,0,107.1
122,Dwayne Bowe,KAN,WR,28,13,12,0,0,0,0,0,0,114,59,801,13.58,1,1,0,0,0,0,0,0,801,3,155.1
123,Brandon LaFell,CAR,WR,26,14,12,0,0,0,0,3,35,76,44,677,15.39,1,0,0,0,0,35,0,3,677,4,139.2
124,Pierre Thomas,NOR,RB,28,15,4,0,0,0,0,105,473,53,39,354,9.08,0,0,0,0,0,473,1,105,354,1,133.7
125,Blaine Gabbert,JAX,QB,23,10,10,162,278,1662,6,18,56,0,0,0,0,5,3,1662,9,278,56,0,18,0,0,90.08
126,Martellus Bennett,NYG,TE,25,16,16,0,0,0,0,0,0,89,55,626,11.38,0,0,0,0,0,0,0,0,626,5,147.6
127,Mark Ingram,NOR,RB,23,16,5,0,0,0,0,156,602,10,6,29,4.83,0,0,0,0,0,602,5,156,29,0,99.1
128,Darrius Heyward-Bey,OAK,WR,25,15,14,0,0,0,0,2,16,80,41,606,14.78,0,0,0,0,0,16,0,2,606,5,133.2
129,Felix Jones,DAL,RB,25,16,7,0,0,0,0,111,402,36,25,262,10.48,2,2,0,0,0,402,3,111,262,2,117.4
130,Scott Chandler,BUF,TE,27,15,13,0,0,0,0,0,0,74,43,571,13.28,2,1,0,0,0,0,0,0,571,6,134.1
131,Chris Givens,STL,WR,23,15,12,0,0,0,0,3,12,80,42,698,16.62,0,0,0,0,0,12,0,3,698,3,131
132,Jeremy Kerley,NYJ,WR,24,16,7,1,1,42,0,5,8,95,56,827,14.77,4,3,42,0,1,8,0,5,827,2,147.18
133,Knowshon Moreno,DEN,RB,25,8,6,0,0,0,0,138,525,26,21,167,7.95,1,1,0,0,0,525,4,138,167,0,112.2
134,Greg Little,CLE,WR,23,16,16,0,0,0,0,2,15,94,53,647,12.21,0,0,0,0,0,15,0,2,647,4,143.2
135,Pierre Garcon,WAS,WR,26,10,10,0,0,0,0,2,9,68,44,633,14.39,0,0,0,0,0,9,0,2,633,4,132.2
136,Jacquizz Rodgers,ATL,RB,22,16,0,0,0,0,0,94,362,59,53,402,7.58,0,0,0,0,0,362,1,94,402,1,141.4
137,Hakeem Nicks,NYG,WR,24,13,11,0,0,0,0,0,0,100,53,692,13.06,0,0,0,0,0,0,0,0,692,3,140.2
138,Mike Tolbert,CAR,RB,27,16,5,0,0,0,0,54,183,39,27,268,9.93,0,0,0,0,0,183,7,54,268,0,114.1
139,Nick Foles,PHI,QB,23,7,6,161,265,1699,5,11,42,0,0,0,0,8,3,1699,6,265,42,1,11,0,0,86.16
140,Vernon Davis,SFO,TE,28,16,16,0,0,0,0,0,0,61,41,548,13.37,0,0,0,0,0,0,0,0,548,5,125.8
